,Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,_equity_curve,_trades,Instrument,Strategy,StrategyParameters
0,2019-06-18,2023-03-31,1382 days,75.34345625451915,27006.62407558374,297495.58097954874,-72.99337592441626,210.94394005414497,-29.212886978201425,70.4956644736023,0.0,0.0,0.0,-92.79701031293341,-12.78546365826115,1218 days,103 days,1029,47.327502429543244,56.98278784301492,-38.38873105189573,-0.1840614101575988,1 days,1 days,0.980769014203755,-0.03153898814522152,-0.42900823852706904,"                   Equity  DrawdownPct DrawdownDuration
2019-06-18  100000.000000      0.00000              NaT
2019-06-19  100000.000000      0.00000              NaT
2019-06-20  100000.000000      0.00000              NaT
2019-06-21  100000.000000      0.00000              NaT
2019-06-22  100000.000000      0.00000              NaT
...                   ...          ...              ...
2023-03-27   27006.624076      0.90922              NaT
2023-03-28   27006.624076      0.90922              NaT
2023-03-29   27006.624076      0.90922              NaT
2023-03-30   27006.624076      0.90922              NaT
2023-03-31   27006.624076      0.90922        1218 days

[1383 rows x 3 columns]","      Size  EntryBar  ExitBar    EntryPrice     ExitPrice          PnL  \
0        9        40       41  10316.183959   9998.833984 -2856.149771   
1        9        41       42  10018.831652   9825.239258 -1742.331551   
2        9        42       43   9844.889736   9567.248047 -2498.775205   
3        9        43       44   9586.382543  10214.501953  5653.074691   
4        9        44       45  10234.930957  10519.310547  2559.416309   
...    ...       ...      ...           ...           ...          ...   
1024     1      1369     1370  27475.088959  26976.373243  -498.715716   
1025     1      1370     1371  27030.325989  28052.675493  1022.349504   
1026     1      1371     1372  28108.780844  27785.943867  -322.836977   
1027    -1      1372     1373  27730.371979  28154.033141  -423.661162   
1028    -1      1374     1375  27259.321154  28346.742431 -1087.421277   

      ReturnPct  EntryTime   ExitTime Duration  
0     -0.030762 2019-07-28 2019-07-29   1 days  
1     -0.019323 2019-07-29 2019-07-30   1 days  
2     -0.028202 2019-07-30 2019-07-31   1 days  
3      0.065522 2019-07-31 2019-08-01   1 days  
4      0.027785 2019-08-01 2019-08-02   1 days  
...         ...        ...        ...      ...  
1024  -0.018152 2023-03-18 2023-03-19   1 days  
1025   0.037822 2023-03-19 2023-03-20   1 days  
1026  -0.011485 2023-03-20 2023-03-21   1 days  
1027  -0.015278 2023-03-21 2023-03-22   1 days  
1028  -0.039892 2023-03-23 2023-03-24   1 days  

[1029 rows x 10 columns]",BTCBUSD,TRIX,
0,2019-01-31,2023-03-30,1519 days,46.05263157894737,0.0,113393.09927862204,-100.0,30.991735537190085,0.0,175.3339927239309,0.0,0.0,0.0,-100.0,-50.62784483496265,1474 days,739 days,700,45.285714285714285,25.274975574376768,-112.04734117533665,0,1 days,1 days,0.7761763969834615,-0.46533645038629556,-1.984017409272136,"              Equity  DrawdownPct DrawdownDuration
2019-01-31  100000.0          0.0              NaT
2019-02-01  100000.0          0.0              NaT
2019-02-02  100000.0          0.0              NaT
2019-02-03  100000.0          0.0              NaT
2019-02-04  100000.0          0.0              NaT
...              ...          ...              ...
2023-03-26       0.0          1.0              NaT
2023-03-27       0.0          1.0              NaT
2023-03-28       0.0          1.0              NaT
2023-03-29       0.0          1.0              NaT
2023-03-30       0.0          1.0        1474 days

[1520 rows x 3 columns]","          Size  EntryBar  ExitBar  EntryPrice  ExitPrice          PnL  \
0    132713296        40       41    0.000754   0.000761   994.818867   
1    132448400        41       42    0.000763   0.000756  -863.828465   
2    132184031        42       43    0.000758   0.000746 -1521.702565   
3    131920191        43       44    0.000747   0.000760  1650.057749   
4    131656877        44       45    0.000762   0.000795  4407.872242   
..         ...       ...      ...         ...        ...          ...   
695  -11073932       735      736    0.000454   0.000434   222.475294   
696  -12123411       736      737    0.000433   0.000476  -519.706383   
697   -9959690       737      738    0.000475   0.000464   110.034655   
698  -10454887       738      739    0.000463   0.000499  -375.623180   
699   -8967318       739      739    0.000498   0.001056 -5003.745509   

     ReturnPct  EntryTime   ExitTime Duration  
0     0.009948 2019-03-12 2019-03-13   1 days  
1    -0.008553 2019-03-13 2019-03-14   1 days  
2    -0.015197 2019-03-14 2019-03-15   1 days  
3     0.016733 2019-03-15 2019-03-16   1 days  
4     0.043965 2019-03-16 2019-03-17   1 days  
..         ...        ...        ...      ...  
695   0.044242 2021-02-04 2021-02-05   1 days  
696  -0.098972 2021-02-05 2021-02-06   1 days  
697   0.023257 2021-02-06 2021-02-07   1 days  
698  -0.077586 2021-02-07 2021-02-08   1 days  
699  -1.120473 2021-02-08 2021-02-08   0 days  

[700 rows x 10 columns]",BTTBUSD,TRIX,
