,Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,_equity_curve,_trades,Instrument,Strategy,StrategyParameters
0,2019-06-18,2023-03-31,1382 days,22.99349240780911,3415.904552745961,136930.538159695,-96.58409544725404,210.94394005414497,-58.98296402689961,23.13473604722993,0.0,0.0,0.0,-97.50537418558731,-43.25109662551455,1333 days,459 days,316,42.405063291139236,19.397561677164198,-57.61197737344786,-1.2363583770257924,1 days,1 days,0.5725379441071214,-0.9813130272840103,-1.368715815161182,"                   Equity  DrawdownPct DrawdownDuration
2019-06-18  100000.000000     0.000000              NaT
2019-06-19  100000.000000     0.000000              NaT
2019-06-20  102290.896777     0.000000              NaT
2019-06-21  108188.338614     0.000000              NaT
2019-06-22  113905.134785     0.000000              NaT
...                   ...          ...              ...
2023-03-27    3415.904553     0.975054              NaT
2023-03-28    3415.904553     0.975054              NaT
2023-03-29    3415.904553     0.975054              NaT
2023-03-30    3415.904553     0.975054              NaT
2023-03-31    3415.904553     0.975054        1333 days

[1383 rows x 3 columns]","     Size  EntryBar  ExitBar    EntryPrice     ExitPrice          PnL  \
0      10         2        3   9290.110518   9526.833984  2367.234668   
1      10         3        4   9545.887652  10151.890625  6060.029726   
2      10         4        5  10172.194406  10718.117188  5459.227812   
3      10         5        6  10739.553422  11246.518555  5069.651328   
4      10         6        7  11269.011592  10999.733398 -2692.781934   
..    ...       ...      ...           ...           ...          ...   
311     1       313      314   7692.387759   7722.575684    30.187925   
312     1       314      315   7738.020835   7890.822266   152.801431   
313     1       315      316   7906.603910   7786.600586  -120.003324   
314    -1       316      317   7771.027385   8857.592773 -1086.565389   
315    -1       489      490   7243.387514  11416.446289 -4173.058775   

     ReturnPct  EntryTime   ExitTime Duration  
0     0.025481 2019-06-20 2019-06-21   1 days  
1     0.063483 2019-06-21 2019-06-22   1 days  
2     0.053668 2019-06-22 2019-06-23   1 days  
3     0.047205 2019-06-23 2019-06-24   1 days  
4    -0.023895 2019-06-24 2019-06-25   1 days  
..         ...        ...        ...      ...  
311   0.003924 2020-04-26 2020-04-27   1 days  
312   0.019747 2020-04-27 2020-04-28   1 days  
313  -0.015178 2020-04-28 2020-04-29   1 days  
314  -0.139823 2020-04-29 2020-04-30   1 days  
315  -0.576120 2020-10-19 2020-10-20   1 days  

[316 rows x 10 columns]",BTCBUSD,AD,
0,2019-01-31,2023-03-30,1519 days,72.63157894736842,0.0,125948.50469844598,-100.0,30.991735537190085,0.0,368.93057946398744,0.0,0.0,0.0,-100.0,-28.362381517538825,1498 days,304 days,1078,43.59925788497217,111.40084560338241,-117034.26853707412,0,6 days,2 days,0.018339123545552196,-109.02046094577496,-1.3001700967897254,"                   Equity  DrawdownPct DrawdownDuration
2019-01-31  100000.000000     0.000000              NaT
2019-02-01  100000.000000     0.000000              NaT
2019-02-02  108412.212252     0.000000              NaT
2019-02-03   67693.325501     0.375593              NaT
2019-02-04   86592.304158     0.201268              NaT
...                   ...          ...              ...
2023-03-26       0.000000     1.000000              NaT
2023-03-27       0.000000     1.000000              NaT
2023-03-28       0.000000     1.000000              NaT
2023-03-29       0.000000     1.000000              NaT
2023-03-30       0.000000     1.000000        1498 days

[1520 rows x 3 columns]","           Size  EntryBar  ExitBar  EntryPrice  ExitPrice           PnL  \
0    -210063733         2        3    0.000476   0.000433   9042.403451   
1    -252334700         3        4    0.000432   0.000617 -46648.106650   
2     100923431         4        5    0.000618   0.000867  25106.318236   
3     100721987         5        6    0.000869   0.000992  12415.596450   
4    -100923835         6        7    0.000990   0.000966   2423.786821   
...         ...       ...      ...         ...        ...           ...   
1073    -131632      1094     1095    0.000002   0.000003     -0.132159   
1074      43439      1095     1096    0.000003   0.000002     -0.043700   
1075     -43527      1096     1102    0.000002   0.000002     -0.000174   
1076     -43440      1102     1104    0.000002   0.000002     -0.000174   
1077     -43352      1104     1105    0.000002   0.002338   -101.270445   

        ReturnPct  EntryTime   ExitTime Duration  
0        0.090424 2019-02-02 2019-02-03   1 days  
1       -0.427798 2019-02-03 2019-02-04   1 days  
2        0.402382 2019-02-04 2019-02-05   1 days  
3        0.141892 2019-02-05 2019-02-06   1 days  
4        0.024258 2019-02-06 2019-02-07   1 days  
...           ...        ...        ...      ...  
1073    -0.503006 2022-01-29 2022-01-30   1 days  
1074    -0.334664 2022-01-30 2022-01-31   1 days  
1075    -0.002004 2022-01-31 2022-02-06   6 days  
1076    -0.002004 2022-02-06 2022-02-08   2 days  
1077 -1170.342685 2022-02-08 2022-02-09   1 days  

[1078 rows x 10 columns]",BTTBUSD,AD,
