,Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,_equity_curve,_trades,Instrument,Strategy,StrategyParameters
0,2019-06-18,2023-03-31,1382 days,35.213304410701376,13201.26127362243,101284.01429649998,-86.79873872637758,210.94394005414497,-41.39783132668985,36.57274693075004,0.0,0.0,0.0,-86.96993529197185,-86.96993529197185,1353 days,1353 days,486,46.09053497942387,56.98278784301492,-38.65136614684215,-0.5170612511124384,1 days,1 days,0.8286066616943005,-0.31769034380099315,-1.738346773239777,"                   Equity  DrawdownPct DrawdownDuration
2019-06-18  100000.000000     0.000000              NaT
2019-06-19  100000.000000     0.000000              NaT
2019-06-20  100000.000000     0.000000              NaT
2019-06-21  100000.000000     0.000000              NaT
2019-06-22  100000.000000     0.000000              NaT
...                   ...          ...              ...
2023-03-27   13201.261274     0.869661              NaT
2023-03-28   13201.261274     0.869661              NaT
2023-03-29   13201.261274     0.869661              NaT
2023-03-30   13201.261274     0.869661              NaT
2023-03-31   13201.261274     0.869661        1353 days

[1383 rows x 3 columns]","     Size  EntryBar  ExitBar    EntryPrice     ExitPrice          PnL  \
0     -10        29       30   9814.285219   9689.371094  1249.141249   
1     -10        30       31   9669.992352  10548.814453 -8788.221015   
2      -8        31       32  10527.716824  10597.679688  -559.702906   
3      -8        32       33  10576.484328  10913.607422 -2696.984750   
4      -8        33       34  10891.780207  10793.253906   788.210407   
..    ...       ...      ...           ...           ...          ...   
481    -1       510      511  18157.635391  18500.916016  -343.280625   
482    -1       511      512  18463.914184  18660.513672  -196.599488   
483    -1       512      513  18623.192645  18505.552734   117.639910   
484     1       513      514  18542.563840  13733.016602 -4809.547238   
485    -1       514      515  13705.550568  16091.164062 -2385.613494   

     ReturnPct  EntryTime   ExitTime Duration  
0     0.012728 2019-07-17 2019-07-18   1 days  
1    -0.090881 2019-07-18 2019-07-19   1 days  
2    -0.006646 2019-07-19 2019-07-20   1 days  
3    -0.031875 2019-07-20 2019-07-21   1 days  
4     0.009046 2019-07-21 2019-07-22   1 days  
..         ...        ...        ...      ...  
481  -0.018906 2020-11-09 2020-11-10   1 days  
482  -0.010648 2020-11-10 2020-11-11   1 days  
483   0.006317 2020-11-11 2020-11-12   1 days  
484  -0.259379 2020-11-12 2020-11-13   1 days  
485  -0.174062 2020-11-13 2020-11-14   1 days  

[486 rows x 10 columns]",BTCBUSD,ADX,
0,2019-01-31,2023-03-30,1519 days,46.776315789473685,0.0,123154.98396854199,-100.0,30.991735537190085,0.0,176.39326937954166,0.0,0.0,0.0,-100.0,-23.332067860564543,1421 days,248 days,711,49.929676511954995,18.22508828496854,-112.04734117533665,0,1 days,1 days,0.8462200864973856,-0.3045141252522329,-1.5920552863557258,"              Equity  DrawdownPct DrawdownDuration
2019-01-31  100000.0          0.0              NaT
2019-02-01  100000.0          0.0              NaT
2019-02-02  100000.0          0.0              NaT
2019-02-03  100000.0          0.0              NaT
2019-02-04  100000.0          0.0              NaT
...              ...          ...              ...
2023-03-26       0.0          1.0              NaT
2023-03-27       0.0          1.0              NaT
2023-03-28       0.0          1.0              NaT
2023-03-29       0.0          1.0              NaT
2023-03-30       0.0          1.0        1421 days

[1520 rows x 3 columns]","          Size  EntryBar  ExitBar  EntryPrice  ExitPrice           PnL  \
0   -120723374        29       30    0.000828   0.000811   2093.343305   
1   -126138026        30       31    0.000809   0.000780   3705.682928   
2   -135911600        31       32    0.000778   0.000806  -3745.723696   
3   -126870742        32       33    0.000804   0.000761   5504.667754   
4   -141620916        33       34    0.000759   0.000769  -1348.514362   
..         ...       ...      ...         ...        ...           ...   
706  -32530250       735      736    0.000454   0.000434    653.532723   
707  -35613148       736      737    0.000433   0.000476  -1526.664428   
708  -29257106       737      738    0.000475   0.000464    323.232507   
709  -30711773       738      739    0.000463   0.000499  -1103.412580   
710  -26341962       739      739    0.000498   0.001056 -14698.762112   

     ReturnPct  EntryTime   ExitTime Duration  
0     0.020933 2019-03-01 2019-03-02   1 days  
1     0.036297 2019-03-02 2019-03-03   1 days  
2    -0.035404 2019-03-03 2019-03-04   1 days  
3     0.053939 2019-03-04 2019-03-05   1 days  
4    -0.012538 2019-03-05 2019-03-06   1 days  
..         ...        ...        ...      ...  
706   0.044242 2021-02-04 2021-02-05   1 days  
707  -0.098972 2021-02-05 2021-02-06   1 days  
708   0.023257 2021-02-06 2021-02-07   1 days  
709  -0.077586 2021-02-07 2021-02-08   1 days  
710  -1.120473 2021-02-08 2021-02-08   0 days  

[711 rows x 10 columns]",BTTBUSD,ADX,
