,Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,_equity_curve,_trades,Instrument,Strategy,StrategyParameters
0,2019-06-18,2023-03-31,1382 days,0.0,100000.0,100000.0,0.0,210.94394005414497,0.0,0.0,,,,-0.0,,,,0,,,,,,,,,,"              Equity  DrawdownPct  DrawdownDuration
2019-06-18  100000.0          0.0               NaN
2019-06-19  100000.0          0.0               NaN
2019-06-20  100000.0          0.0               NaN
2019-06-21  100000.0          0.0               NaN
2019-06-22  100000.0          0.0               NaN
...              ...          ...               ...
2023-03-27  100000.0          0.0               NaN
2023-03-28  100000.0          0.0               NaN
2023-03-29  100000.0          0.0               NaN
2023-03-30  100000.0          0.0               NaN
2023-03-31  100000.0          0.0               NaN

[1383 rows x 3 columns]","Empty DataFrame
Columns: [Size, EntryBar, ExitBar, EntryPrice, ExitPrice, PnL, ReturnPct, EntryTime, ExitTime, Duration]
Index: []",BTCBUSD,StandardDeviation,
0,2019-01-31,2023-03-30,1519 days,6.25,48630087.4250808,69486288.96079054,48530.0874250808,30.991735537190085,341.78478241445225,inf,0.0,24.221619350531505,9.701185427581978,-35.231239003297986,-18.20498439816857,194 days,80 days,14,7.142857142857142,104358.08383233534,-10.220440881763526,55.56854477361988,20 days,6 days,1438.1388954894605,7448.965653982325,0.6945156481710243,"                  Equity  DrawdownPct DrawdownDuration
2019-01-31  1.000000e+05     0.000000              NaT
2019-02-01  1.000000e+05     0.000000              NaT
2019-02-02  1.000000e+05     0.000000              NaT
2019-02-03  1.000000e+05     0.000000              NaT
2019-02-04  1.000000e+05     0.000000              NaT
...                  ...          ...              ...
2023-03-26  4.991380e+07     0.281674              NaT
2023-03-27  4.930970e+07     0.290368              NaT
2023-03-28  4.915868e+07     0.292541              NaT
2023-03-29  4.847906e+07     0.302322              NaT
2023-03-30  4.863009e+07     0.300148         116 days

[1520 rows x 3 columns]","            Size  EntryBar  ExitBar    EntryPrice  ExitPrice           PnL  \
0   -50100200400      1094     1094  1.996000e-06   0.000002 -1.022044e+04   
1       38323506      1106     1109  2.342676e-03   0.002104 -9.139236e+03   
2     -129283082      1248     1248  6.237500e-04   0.000625 -1.616039e+02   
3      120597721      1249     1251  6.673320e-04   0.000599 -8.192444e+03   
4   -72431136739      1254     1254  9.980000e-07   0.000001 -7.387976e+03   
5    64768760996      1273     1287  1.002000e-06   0.001047  6.772662e+07   
6  -106469237961      1392     1392  6.367240e-04   0.000638 -1.358547e+05   
7    98283294145      1393     1412  6.883740e-04   0.000619 -6.798649e+06   
8   -96029879814      1430     1430  6.337300e-04   0.000635 -1.219579e+05   
9    92823629597      1431     1436  6.543060e-04   0.000588 -6.182611e+06   
10  -75291695118      1470     1470  7.245480e-04   0.000726 -1.093235e+05   
11   78066745206      1471     1489  6.973920e-04   0.000626 -5.542114e+06   
12  -74353576952      1498     1498  6.576820e-04   0.000659 -9.799801e+04   
13   75512558113      1499     1519  6.462900e-04   0.000644 -1.729238e+05   

      ReturnPct  EntryTime   ExitTime Duration  
0     -0.102204 2022-01-29 2022-01-29   0 days  
1     -0.101796 2022-02-10 2022-02-13   3 days  
2     -0.002004 2022-07-02 2022-07-02   0 days  
3     -0.101796 2022-07-03 2022-07-05   2 days  
4     -0.102204 2022-07-08 2022-07-08   0 days  
5   1043.580838 2022-07-27 2022-08-10  14 days  
6     -0.002004 2022-11-23 2022-11-23   0 days  
7     -0.100489 2022-11-24 2022-12-13  19 days  
8     -0.002004 2022-12-31 2022-12-31   0 days  
9     -0.101796 2023-01-01 2023-01-06   5 days  
10    -0.002004 2023-02-09 2023-02-09   0 days  
11    -0.101796 2023-02-10 2023-02-28  18 days  
12    -0.002004 2023-03-09 2023-03-09   0 days  
13    -0.003543 2023-03-10 2023-03-30  20 days  ",BTTBUSD,StandardDeviation,
