,Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,_equity_curve,_trades,Instrument,Strategy,StrategyParameters
0,2019-01-31,2023-03-30,1519 days,70.72368421052632,0.0,110226.54681803602,-100.0,30.991735537190085,0.0,348.6608483941809,0.0,0.0,0.0,-100.0,-28.207713656490995,1474 days,373 days,1074,47.486033519553075,111.40084560338241,-118186.57314629259,0,1 days,1 days,0.01760811296252016,-110.43095059051109,-1.4614264631916312,"              Equity  DrawdownPct DrawdownDuration
2019-01-31  100000.0          0.0              NaT
2019-02-01  100000.0          0.0              NaT
2019-02-02  100000.0          0.0              NaT
2019-02-03  100000.0          0.0              NaT
2019-02-04  100000.0          0.0              NaT
...              ...          ...              ...
2023-03-26       0.0          1.0              NaT
2023-03-27       0.0          1.0              NaT
2023-03-28       0.0          1.0              NaT
2023-03-29       0.0          1.0              NaT
2023-03-30       0.0          1.0        1474 days

[1520 rows x 3 columns]","           Size  EntryBar  ExitBar  EntryPrice  ExitPrice          PnL  \
0    -128462052        31       32    0.000778   0.000806 -3540.414153   
1    -119916738        32       33    0.000804   0.000761  5202.947428   
2    -133858430        33       34    0.000759   0.000769 -1274.599970   
3    -130805086        34       35    0.000767   0.000787 -2555.669770   
4    -124559491        35       36    0.000785   0.000765  2544.252163   
...         ...       ...      ...         ...        ...          ...   
1069    -100589      1100     1101    0.000002   0.000002    -0.000402   
1070    -100387      1101     1102    0.000002   0.000002    -0.000402   
1071    -100186      1102     1103    0.000002   0.000002    -0.000401   
1072     -99985      1103     1104    0.000002   0.000002    -0.000400   
1073     -99785      1104     1105    0.000002   0.002361  -235.393214   

        ReturnPct  EntryTime   ExitTime Duration  
0       -0.035404 2019-03-03 2019-03-04   1 days  
1        0.053939 2019-03-04 2019-03-05   1 days  
2       -0.012538 2019-03-05 2019-03-06   1 days  
3       -0.025458 2019-03-06 2019-03-07   1 days  
4        0.026006 2019-03-07 2019-03-08   1 days  
...           ...        ...        ...      ...  
1069    -0.002004 2022-02-04 2022-02-05   1 days  
1070    -0.002004 2022-02-05 2022-02-06   1 days  
1071    -0.002004 2022-02-06 2022-02-07   1 days  
1072    -0.002004 2022-02-07 2022-02-08   1 days  
1073 -1181.865731 2022-02-08 2022-02-09   1 days  

[1074 rows x 10 columns]",BTTBUSD,CDLZ,
0,2019-06-18,2023-03-31,1382 days,24.65654374548084,3138.517124217102,114209.70791710536,-96.86148287578288,210.94394005414497,-59.8895985224046,22.854903614539893,0.0,0.0,0.0,-97.25196992317406,-35.28405946110283,1334 days,450 days,339,47.49262536873156,14.70325599004454,-57.61197737344786,-1.1763469643016222,1 days,1 days,0.5691799936856339,-0.9220617757757843,-1.9548510933116214,"                   Equity  DrawdownPct DrawdownDuration
2019-06-18  100000.000000      0.00000              NaT
2019-06-19  100000.000000      0.00000              NaT
2019-06-20  100000.000000      0.00000              NaT
2019-06-21  100000.000000      0.00000              NaT
2019-06-22  100000.000000      0.00000              NaT
...                   ...          ...              ...
2023-03-27    3138.517124      0.97252              NaT
2023-03-28    3138.517124      0.97252              NaT
2023-03-29    3138.517124      0.97252              NaT
2023-03-30    3138.517124      0.97252              NaT
2023-03-31    3138.517124      0.97252        1334 days

[1383 rows x 3 columns]","     Size  EntryBar  ExitBar    EntryPrice     ExitPrice          PnL  \
0       9        31       32  10569.912082  10597.679688   249.908449   
1      -9        32       33  10576.484328  10913.607422 -3034.107844   
2       8        33       34  10935.434637  10793.253906 -1137.445844   
3       8        34       35  10814.840414  10555.688477 -2073.215499   
4      -8        35       36  10534.577100   9900.445312  5073.054297   
..    ...       ...      ...           ...           ...          ...   
334    -1       365      366   9534.118160   9427.407227   106.710934   
335    -1       366      367   9408.552412   9494.086914   -85.534502   
336    -1       367      368   9475.098740   9225.399414   249.699326   
337    -1       368      369   9206.948615  12555.348633 -3348.400018   
338    -1       489      490   7243.387514  11416.446289 -4173.058775   

     ReturnPct  EntryTime   ExitTime Duration  
0     0.002627 2019-07-19 2019-07-20   1 days  
1    -0.031875 2019-07-20 2019-07-21   1 days  
2    -0.013002 2019-07-21 2019-07-22   1 days  
3    -0.023963 2019-07-22 2019-07-23   1 days  
4     0.060195 2019-07-23 2019-07-24   1 days  
..         ...        ...        ...      ...  
334   0.011193 2020-06-17 2020-06-18   1 days  
335  -0.009091 2020-06-18 2020-06-19   1 days  
336   0.026353 2020-06-19 2020-06-20   1 days  
337  -0.363682 2020-06-20 2020-06-21   1 days  
338  -0.576120 2020-10-19 2020-10-20   1 days  

[339 rows x 10 columns]",BTCBUSD,CDLZ,
